zh_CN,Metdata,Label,pt_BR,da,th,es_MX,no,pl,vi,pt_PT,fr_CA,de,es,fr,it,ko,package,Translated,Configuration
"二次请求","CustomLabel.CEC_2nd_Request","2nd Request","2nd Request","2. anmodning","คำร้องขอครั้งที่2","2nd Request","2. Forespørsel","2nd Request","Yêu cầu lần thứ 2","2nd Request","2e demande","2nd Request","2nd Request","2nd Request","Aprire 2nd Request","2차 요청","CustomLabel$CEC_2nd_Request","Will be Transalted","No"
"二次请求的原因","CustomLabel.CEC_2nd_Request_Reason","2nd Request Reason","Motivo do 2nd Request","begrundelse for 2. anmodning","เหตุผลคำร้องขอครั้งที่2","Motivo para el 2nd Request","2. Forespørsel begrunnelse","Powód otwarcia 2nd Request","Lý do yêu cầu lần thứ 2","Motivo do 2nd Request","Motif de la 2e demande","Grund für 2nd Request","Motivo para el 2nd Request","Raison de la 2nd Request","Motivo della 2nd Request","2차 요청 사유","CustomLabel$CEC_2nd_Request_Reason","Will be Transalted","No"
"输入二次请求的原因","CustomLabel.CEC_2nd_request_Other_Reason","Enter Reason for 2nd Request","Incluir motivo do 2nd Request","Skriv begrundelsen for 2. anmodning","ป้อนเหตุผลคำร้องขอครั้งที่2","Introduce el motivo del 2nd Request","Skriv inn begrunnelse for 2. Forespørsel","Wprowadź uzasadnienie dla 2nd Request","Nhập lý do yêu cầu lần thứ 2","Incluir motivo do 2nd Request","Entrer un motif pour la 2e demande","Trage einen Grund für den 2nd Request ein","Introduce el motivo del 2nd Request","Saisir la raison de la 2nd Request","Indica il motivo della 2nd Request","2차 요청 사유 입력","CustomLabel$CEC_2nd_request_Other_Reason","Will be Transalted","No"
"第三方账号类型","CustomLabel.CEC_3rd_Party_Auditor","3rd Party Auditor","Auditor Terceiro","Tredjeparts revisor","ผู้ตรวจสอบบัญชีบุคคลที่สาม","Auditor Externo","Tredjeparts revisor","Audytor - strona trzecia","Kiểm tra viên bên thứ ba","Auditor Terceiro","Vérificateur indépendant","3. Partei","Tercero Auditor","Auditeur tiers","Auditor terza parte","제3자","CustomLabel$CEC_3rd_Party_Auditor","Will be Transalted","No"
"第三方账号公司名称","CustomLabel.CEC_3rd_Party_Auditor_Company_Name","3rd Party Auditor Company Name","Empresa do Auditor Terceiro","Tredjeparts revisor Firmanavn","ชื่อบริษัทผู้ตรวจสอบบัญชีบุคคลที่สาม","Nombre de la Empresa del Auditor Externo","Tredjeparts revisor bedriftsnavn","Audytor - strona trzecia - nazwa firmy","Tên công ty kiểm tra viên bên thứ 3","Nome da Empresa do Auditor Terceiro","Nom de l'entreprise du vérificateur indépendant","Firmenname der 3. Partei","Nombre de la Empresa del Tercero","Nom de la société de l'auditeur tiers","Nome dell'azienda","제3자 회사명","CustomLabel$CEC_3rd_Party_Auditor_Company_Name","Will be Transalted","No"
"行动方案","CustomLabel.CEC_ACTIONS","ACTIONS","Ação","Aktioner","แนวทางปฏิบัติ","ACCIONES","HANDLINGER","Działania","Hành động","Acção","ACTIONS","AKTIONEN","ACCIONES","ACTIONS","AZIONI","액션","CustomLabel$CEC_ACTIONS","Will be Transalted","No"
"需要帮助","CustomLabel.CEC_AR_Case","Assistance Required Case","Assistência Requerida","Sag - Assistance krævet","ประเภทการขอความช่วยเหลือ","Ayuda Requerida","Sak - Assistanse etterspurt","Wymagana pomoc","Trường hơp yêu cầu hỗ trợ","Assistência Requerida","Assistance requise pour la requête","Unterstützung erforderlich Vorgang","Ayuda Requerida","Assistance requise pour le dossier","Caso - Assistenza richiesta","지원 필요","CustomLabel$CEC_AR_Case","Will be Transalted","No"
"重新分配的原因","CustomLabel.CEC_AR_Case_ReAssign_Comments","Reassign Reason:","Redefinir Razão","","","","","","","","","","","","","","","Will be Transalted","No"
"帐号＃","CustomLabel.CEC_Account","Account #","Conta #","","บัญชี CEC #","Cuenta #","","Konto #","","Conta #","","Konto #","Cuenta #","Compte #","","계정 번호","CustomLabel$CEC_Account","Will be Transalted","No"
"账号","CustomLabel.CEC_AccountNumber","Account Number","Número da Conta","Kontonummer","หมายเลขสมาชิกลูกค้า","Número de Cuenta","Kontonummer","Numer klienta","Số tài khoản","Número de Conta","Numéro de compte","Kundennummer","Número de Cuenta","Numéro de compte","Codice cliente","계정 번호","CustomLabel$CEC_AccountNumber","Will be Transalted","No"
"账号","CustomLabel.CEC_Account_Label","Account","Conta","Konto","บัญชีผู้ใช้","Cuenta","Konto","","Số tài khoản","","Compte","","Cuenta","Compte","Codice cliente","계정","CustomLabel$CEC_Account_Label","Will be Transalted","No"
"账号名称","CustomLabel.CEC_Account_Name","Account Name","Número da Conta","Kontonavn","ชื่อลูกค้า","Nombre de la Cuenta / Razón Social","Kontonavn","Nazwa klienta","Tên tài khoản","Número da Conta","Nom du compte","Kundenname","Nombre de la Cuenta / Razón Social","Nom du compte","Nome del codice","계정 이름","CustomLabel$CEC_Account_Name","Will be Transalted","No"
"账号","CustomLabel.CEC_Account_Number","Account Number","Número da Conta","Kontonummer","หมายเลขสมาชิกลูกค้า","Número de Cuenta","Kontonummer","Numer klienta","Số tài khoản","Número de Conta","Numéro de compte","Kundennummer","Número de Cuenta","Numéro de compte","Codice cliente","계정 번호","CustomLabel$CEC_Account_Number","Will be Transalted","No"
"账号状态","CustomLabel.CEC_Account_Status","Account Status","Status da Conta","Kontostatus","สถานะลูกค้า","Estado de la Cuenta","Kontostatus","Status numeru klienta","Tình trạng tài khoản","Estado da Conta","Statut du compte","Kundenstatus","Estado de la Cuenta","Statut du compte","Stato del codice","계정 상태","CustomLabel$CEC_Account_Status","Will be Transalted","No"
"账号类型","CustomLabel.CEC_Account_Type","Account Type","Tipo de Conta","Kontotype","ประเภทลูกค้า","Tipo de Cuenta","Kontotype","Rodzaj numeru klienta","Loại tài khoản","Tipo de Conta","Type de compte","Kundenart","Tipo de Cuenta","Type du compte","Tipologia di codice","계정 유형","CustomLabel$CEC_Account_Type","Will be Transalted","No"
"活动","CustomLabel.CEC_Activity_Tab_Name","ACTIVITY","Atividade","Aktivitet","กิจกรรม","ACTIVIDAD","AKTIVITET","Aktywność","Hoạt động","Actividade","ACTIVITÉ","AKTIVITÄT","ACTIVIDAD","ACTIVITÉ","ATTIVITÀ","활동","CustomLabel$CEC_Activity_Tab_Name","Will be Transalted","No"
"其他社交媒体信息处理","CustomLabel.CEC_Add_Soccial_Persona","Social Media Handle","Gestor de Rede Social","Sociale medier håndtering","การจัดการโซเชียลมีเดีย","Manejo de Redes Sociales","Sosialmedia brukernavn","Konta w mediach społecznościowych","Xử lý truyền thông xã hội","Gestão de Redes Sociais","Compte de média social","Social Media Benutzername","Gestión de Redes Sociales","Compte de réseau social","Gestione Social Media","소셜 미디어 관리","CustomLabel$CEC_Add_Soccial_Persona","Will be Transalted","No"
"其他社交媒体信息处理","CustomLabel.CEC_Add_Social_Persona","Social Media Handle","Gestor de Rede Social","Sociale medier håndtering","การจัดการโซเชียลมีเดีย","Manejo de Redes Sociales","Sosialmedia brukernavn","Konta w mediach społecznościowych","Xử lý truyền thông xã hội","Gestão de Redes Sociais","Compte de média social","Social Media Benutzername","Gestión de Redes Sociales","Compte de réseau social","Gestione Social Media","소셜 미디어 관리","CustomLabel$CEC_Add_Social_Persona","Will be Transalted","No"
"地址","CustomLabel.CEC_Address","Address","Endereço","Adresse","ที่อยู่","Dirección","Adresse","Adres","Địa chỉ","Morada","Adresse","Adresse","Dirección","Adresse","Indirizzo","주소","CustomLabel$CEC_Address","Will be Transalted","No"
"国家信息必须有邮编","CustomLabel.CEC_Address_PostalCode_Validation","Postal Code is mandatory to be selected for country","Código postal é uma informação obrigatória para o país solicitado...","Postnummer er obligatorisk for at vælge dette land","ประเทศ / ภูมิภาคนี้ต้องมีรหัสไปรษณีย์ ...","El Código Postal es obligatorio para ser seleccionado por país ...","Postnummer er påkrevd for valgt land...","Kod pocztowy jest obowiązkowy do wybrania dla kraju…","Các quốc gia này bắt buộc dùng mã bưu điện","Código postal é uma informação obrigatória para o país solicitado...","Le code postal est obligatoire pour pour le pays…","Die Postleitzahl muss für das ausgewählte Land eingegeben werden.","El Código Postal es obligatorio para ser seleccionado por país ...","Le code postal est obligatoire pour être sélectionné pour le pays…","È obbligatorio selezionare il codice postale per il Paese...","해당 국가의 경우 우편번호는 반드시 입력되어야 합니다.","CustomLabel$CEC_Address_PostalCode_Validation","Will be Transalted","No"
"高级搜索","CustomLabel.CEC_Advanced_Search","Advanced Search","Busca Avançada","Advanceret søgning","การค้นหาขั้นสูง","Búsqueda Avanzada","Avansert søk","Wyszukiwanie zaawansowane","Tìm kiếm nâng cao","Pesquisa Avançada","Recherche avancée","Erweiterte Suche","Búsqueda Avanzada","Recherche avancée","Ricerca avanzata","상세 검색","CustomLabel$CEC_Advanced_Search","Will be Transalted","No"
"提示编号","CustomLabel.CEC_Alert_Number","Alert Number","Número do Alerta","Melding nummer","หมายเลขการแจ้งเตือน","Número de Alerta","Melding nummer","","Số cảnh báo","","Numéro de l'alerte","","Número de Alerta","Numéro de l'alerte","Numero di avviso","통지 번호","CustomLabel$CEC_Alert_Number","Will be Transalted","No"
"应用","CustomLabel.CEC_Application","Application","Aplicação","Applikation","แอปพลิเคชัน","Aplicación","Søknad","Aplikacja","Ứng dụng","Aplicação","Application","System","Aplicación","Application","Sistema","예약 경로","CustomLabel$CEC_Application","Will be Transalted","No"
"地域分配","CustomLabel.CEC_Assigned_Geographies","Assigned Geographies","Zonas Geograficas designadas","tildelte geografiske områder","การจัดสรรภูมิศาสตร์","Geografías Asignadas","Tildelt geofraiske","","Những vùng địa lý được phân bố","Zonas Geográficas Assignadas","Géographies assignées","","Zonas Geográficas Asignadas","Géographies assignées","Aree geografiche assegnate","지정된 지역","CustomLabel$CEC_Assigned_Geographies","Will be Transalted","No"
"分配技能","CustomLabel.CEC_Assigned_Skills","Assigned Skills","Habilidades Designadas","Tildelte egenskaber","การจัดสรรทักษะ","Competencias Asignadas","Tildelte Skills","","Những kỹ năng được phân công","Competências Assignadas","Compétences assignées","","Competencias Asignadas","Compétences assignées","Skill assegnate","지정된 스킬","CustomLabel$CEC_Assigned_Skills","Will be Transalted","No"
"需要帮助详情","CustomLabel.CEC_Assistance_Request_Details","Assistance Request Details","Detalhes da Assistência Solicitada","Hjælp kræves detaljer","รายละเอียดการขอความช่วยเหลือ","Detalles de Ayuda Solicitada","ASSISTANSE FORESPURT DETALJER","Szczegóły dotyczące wymaganego wsparcia","Chi tiết yêu cầu hỗ trợ","Detalhes do Pedido de Assistência","Détails sur la demande d'assistance","Unterstützung Erforderlich Details","Detalles de Ayuda Solicitada","Détails sur la demande d'assistance","Dettagli","도움 요청 세부 사항","CustomLabel$CEC_Assistance_Request_Details","Will be Transalted","No"
"需要帮助","CustomLabel.CEC_Assistance_Required_Tab_Name","ASSISTANCE REQUIRED","Assistência Solicitada","Hjælp kræves","ต้องการความช่วยเหลือ","AYUDA REQUERIDA","ASSISTANSE FORESPURT","WYMAGANE WSPARCIE","Yêu cầu trợ giúp","Pedido de Assistência","ASSISTANCE REQUISE","UNTERSTÜTZUNG ERFORDERLICH","AYUDA REQUERIDA","ASSISTANCE REQUISE","ASSISTENZA RICHIESTA","도움 필요","CustomLabel$CEC_Assistance_Required_Tab_Name","Will be Transalted","No"
"恢复责任","CustomLabel.CEC_Assume_Responsibility","Assume Responsibility","Assumir Responsábilidade","Påtag ansvar","ยอมรับความรับผิดชอบ","Asumir la Propiedad","Påta Ansvar","Przejmij własność","Chịu trách nhiệm","Assumir Propriedade","Assumer la responsabilité","Verantwortung voraussetzen","Asumir la Propiedad","Assumer la responsabilité","Prendi proprietà","책임 수락","CustomLabel$CEC_Assume_Responsibility","Will be Transalted","No"
"维护责任已激活，点击提交来接受责任","CustomLabel.CEC_Assume_Responsibility_Confirmation","Maintain Responsibility is already active for this case. Click Submit to accept responsibility","A Responsábilidade deste caso já esta ativa. Clique em submeter para aceitar a responsábilidade","Vedligeholdelse af ansvar er allered aktiv for denne sag. Vil du gerne påtage dig ansvaret?","สำหรับเคสนี้ได้มีการกำหนดความรับผิดชอบอยู่แล้ว กดส่งที่จะยอมรับความรับผิดชอบหรือไม่","El mantenimiento de la responsabilidad ya está activo para este caso. Haz clic en Enviar para aceptar la propiedad","Vedlikehold Ansvar er allerede aktiv på denne saken. Trykk Send inn for å påta ansvar.","Zachowanie własności jest już aktywne dla tej sprawy. Naciśnij Zatwierdź, aby przejąć własność","Duy trì Trách nhiệm đã có hiệu lực cho trường hợp này. Bấm Gửi để nhận trách nhiệm","A Propriedade do caso já está activa. Clica em Submeter para aceitar a propriedade","Le maintien de la responsabilité est déjà activé pour cette requête. Cliquez sur Soumettre pour accepter la responsabilité.","Verantwortung beibehalten ist für diesen Vorgang bereits aktiv. Klicke auf Senden, um die Verantwortung zu übernehmen","El mantenimiento de la responsabilidad ya está activo para este caso. Haz clic en Enviar para aceptar la propiedad","Le maintien de la responsabilité est déjà activé pour cette requête. Cliquez sur Soumettre pour accepter la responsabilité.","Mantenere proprietà è già attivo per questo caso. Clicca Inoltra per accettare proprietà","이 케이스에 대한 책임 유지가 이미 활성화되어 있습니다. 책임을 수락하려면 제출을 클릭하십시오.","CustomLabel$CEC_Assume_Responsibility_Confirmation","Will be Transalted","No"
"可用技能","CustomLabel.CEC_Available_Skills","Available Skills","Competências Disponíveis","Tilgængelige egenskaber","ทักษะที่มีอยู่","Competencias Disponibles","Tilgjengelige Skills","","Những kỹ năng hiện có","Comptetências Disponíveis","Compétences disponibles","","Competencias Disponibles","Compétences disponibles","Skill disponibili","스킬","CustomLabel$CEC_Available_Skills","Will be Transalted","No"
"业务类型","CustomLabel.CEC_Business_Unit","Business Unit","Unidade de Negócios","Forretningsenhed","หน่วยธุรกิจ","Unidad de Negocio","Bedriftsenhet","Jednostka biznesowa","Đơn vị kinh doanh","Unidade de Negócio","Unité opérationnelle","Geschäftseinheit","Unidad de Negocio","Unité opérationnelle","Unità operativa","사업 부문","CustomLabel$CEC_Business_Unit","Will be Transalted","No"
"业务类型","CustomLabel.CEC_Business_Units","Business Unit(s)","Unidade(es) de Negócios","Erhversenhed","หน่วยธุรกิจ","Unidad(es) de Negocio","Bedriftsenhet(er)","Jednostka biznesowa","Đơn vị kinh doanh","","Unité opérationnelle","Geschäftseinheit","Unidad(es) de Negocio","Unité opérationnelle","Unità operativa","사업 부문","CustomLabel$CEC_Business_Units","Will be Transalted","No"
"添加","CustomLabel.CEC_Button_Add","Add","Adicionar","Tilføj","เพิ่ม","Añadir","Legg til","Dodaj","Thêm","Adicionar","Ajouter","Hinzufügen","Añadir","Ajouter","Aggiungi","추가","CustomLabel$CEC_Button_Add","Will be Transalted","No"
"返回","CustomLabel.CEC_Button_Back","Back","Voltar","Tilbage","กลับ","Volver","Tilbake","Cofnij","Trở lại","Voltar","Précédent","Zurück","Volver","Précédent","Indietro","돌아가기","CustomLabel$CEC_Button_Back","Will be Transalted","No"
"取消","CustomLabel.CEC_Button_Cancel","Cancel","Cancelar","Anuller","ยกเลิก","Cancelar","Avbryt","Anuluj","Hủy","Cancelar","Annuler","Abbrechen","Cancela","Annuler","Cancella","취소","CustomLabel$CEC_Button_Cancel","Will be Transalted","No"
"关闭","CustomLabel.CEC_Button_Close","Close","Fechar","Luk","ปิด","Cerrar","Steng","Zamknij","Đóng","Fechar","Fermer","Schliessen","Cerrar","Fermer","Chiudi","종료","CustomLabel$CEC_Button_Close","Will be Transalted","No"
"后台案件","CustomLabel.CEC_Button_Create_CEC_Case","Create Back Office Case","Criar caso de Back Office","","","Crear caso de Back Office","","Utwórz sprawę dla Back Office","","Criar caso de Back Office","Créer une requête des services de soutien","Erstellen eines Back Office Vorgang","Crear caso de Back Office","Créer une requête des services de soutien","Creare Caso Back Office","","CustomLabel$CEC_Button_Create_CEC_Case","Will be Transalted","No"
"创建电话案件","CustomLabel.CEC_Button_Create_Phone_Case","Create Phone Case","Criar Caso Telefonico","Lav telefonsag","สร้างเคสโทรศัพท์","Crear Caso Telefónico","Opprett telefon sak","Utwórz sprawę zgłoszoną przez telefon","Tạo Phone Case mới","Criar Caso Telefónico","Créer une requête téléphonique","Telefon Vorgang erstellen","Crear Caso Telefónico","Créer une requête téléphonique","Crea caso telefonico","연락처 케이스 생성","CustomLabel$CEC_Button_Create_Phone_Case","Will be Transalted","No"
"创建货件识别标签","CustomLabel.CEC_Button_Create_Shipment_Identifier","Create Shipment Identifier(s)","Criar Identificador de Envio","Opret forsendelsesindikator","สร้างตัวระบุข้อมูลการขนส่ง","Crear Identificador(es) de Envío","Opprett forsendelses indentifikator","Stwórz identyfikator/y przesyłki","Tạo các nhận dạng lô hàng","Criar Identificador(es) de Envio","Créer un identifiant d'envoi","Sendungsmerkmale erstellen","Crear Identificador(es) de Envío","Créer un identifiant d'envoi","Crea codice/i identificativo/i","발송물 식별 번호 생성","CustomLabel$CEC_Button_Create_Shipment_Identifier","Will be Transalted","No"
